City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Oranjemund,-28.55,16.4333,18.82,86,13,2.52,NA,1610593174
Yellowknife,62.456,-114.3525,-11.0,92,75,4.12,CA,1610593022
Wanning,18.8003,110.3967,19.36,64,55,3.91,CN,1610593175
Busselton,-33.65,115.3333,21.11,46,100,1.79,AU,1610593176
Rikitea,-23.1203,-134.9692,25.51,77,71,5.19,PF,1610593178
Mandalgovi,45.7625,106.2708,-14.45,89,100,6.24,MN,1610593178
Castro,-24.7911,-50.0119,17.79,95,97,3.97,BR,1610593179
Mataura,-46.1927,168.8643,25.0,47,4,2.64,NZ,1610593181
Romny,50.751,33.4747,-7.93,97,69,2.59,UA,1610593181
Ushuaia,-54.8,-68.3,11.0,76,40,2.06,AR,1610593114
Barrow,71.2906,-156.7887,-23.0,77,1,7.72,US,1610593183
Manmād,20.25,74.45,21.3,44,0,1.11,IN,1610593185
Hermanus,-34.4187,19.2345,21.11,85,82,2.24,ZA,1610593076
Manggar,-2.8833,108.2667,26.72,84,100,4.66,ID,1610593186
Tiksi,71.6872,128.8694,-35.89,83,91,1.64,RU,1610593060
Tuktoyaktuk,69.4541,-133.0374,-25.0,84,75,2.06,CA,1610593188
Katsuura,35.1333,140.3,11.11,54,20,3.09,JP,1610593190
Preslav,43.1667,26.8167,-0.47,93,100,6.43,BG,1610593191
Novoagansk,61.9449,76.6625,-21.79,90,86,5.84,RU,1610593193
Clyde River,70.4692,-68.5914,-20.0,84,90,5.14,CA,1610593194
Vaini,-21.2,-175.2,30.0,79,40,3.6,TO,1610592978
Pisco,-13.7,-76.2167,21.0,83,0,6.17,PE,1610593195
Bredasdorp,-34.5322,20.0403,20.0,88,100,5.66,ZA,1610593196
São Gabriel da Cachoeira,-0.1303,-67.0892,22.73,97,98,0.87,BR,1610593196
Husavik,66.0449,-17.3389,4.0,70,90,3.6,IS,1610593152
Jamestown,42.097,-79.2353,3.33,75,1,3.6,US,1610593198
Brae,60.3964,-1.353,4.0,65,40,8.23,GB,1610593135
Ponta do Sol,32.6667,-17.1,11.11,56,90,0.89,PT,1610593199
Kemijärvi,66.7131,27.4306,-20.96,89,74,1.11,FI,1610593201
Labuhan,-6.8844,112.2051,28.2,74,100,2.84,ID,1610592931
Pacific Grove,36.6177,-121.9166,15.56,72,1,1.54,US,1610593205
Puerto Ayora,-0.7393,-90.3518,24.44,93,93,3.13,EC,1610593208
Dali,25.7,100.1833,9.82,58,76,0.61,CN,1610593151
Guerrero Negro,27.9769,-114.0611,15.66,53,0,4.74,MX,1610592919
Bluff,-46.6,168.3333,16.6,78,13,2.5,NZ,1610592978
Atuona,-9.8,-139.0333,25.47,77,13,6.04,PF,1610593216
Gillette,44.2911,-105.5022,4.0,28,75,16.46,US,1610592961
Saskylakh,71.9167,114.0833,-43.39,75,70,4.17,RU,1610593222
Broome,42.2506,-75.833,-0.56,80,1,3.09,US,1610593225
Lompoc,34.6391,-120.4579,19.0,82,1,3.64,US,1610593226
Vila Franca do Campo,37.7167,-25.4333,16.11,94,75,5.66,PT,1610593227
Nome,64.5011,-165.4064,-8.0,93,90,5.14,US,1610593229
Grants,35.1473,-107.8514,2.0,30,1,4.12,US,1610593230
Aldan,58.6031,125.3894,-31.64,80,28,0.67,RU,1610593231
Bambous Virieux,-20.3428,57.7575,27.22,88,75,3.09,MU,1610592959
New Norfolk,-42.7826,147.0587,23.33,47,73,1.79,AU,1610593234
Valdivia,-39.8142,-73.2459,10.0,93,79,1.54,CL,1610592942
San Patricio,28.017,-97.5169,9.0,87,1,5.14,US,1610593235
Sampit,-2.5333,112.95,25.25,94,100,1.93,ID,1610593236
Rome,43.2128,-75.4557,-1.0,74,90,2.57,US,1610593202
Cape Town,-33.9258,18.4232,21.11,78,0,5.14,ZA,1610593200
Fortuna,40.5982,-124.1573,13.33,100,90,0.81,US,1610593239
Mogadishu,2.0371,45.3438,23.76,84,2,7.92,SO,1610593025
Khiri Mat,16.8333,99.8,24.44,77,20,1.03,TH,1610593241
Avarua,-21.2078,-159.775,29.0,70,75,8.75,CK,1610593046
Bairiki Village,1.3292,172.9752,29.0,70,20,7.2,KI,1610593244
Tilichiki,60.4667,166.1,-30.57,85,0,3.51,RU,1610593245
Ribeira Grande,38.5167,-28.7,17.35,83,68,8.77,PT,1610593246
Mīzan Teferī,6.9833,35.5833,19.46,58,100,0.78,ET,1610593247
Bonavista,48.6499,-53.1147,-1.11,93,100,0.51,CA,1610592976
Hobart,-42.8794,147.3294,23.33,37,40,7.2,AU,1610593224
Kavieng,-2.5744,150.7967,29.6,69,82,6.12,PG,1610593249
Butaritari,3.0707,172.7902,27.46,77,64,8.25,KI,1610593249
George Town,5.4112,100.3354,27.22,78,20,0.51,MY,1610593006
Whitehorse,60.7161,-135.0538,-5.0,58,20,2.06,CA,1610592985
Djibouti,11.5,42.5,21.0,73,1,4.74,DJ,1610593251
Aasiaat,68.7098,-52.8699,-5.76,97,97,9.24,GL,1610593252
Te Anau,-45.4167,167.7167,24.89,39,0,2.33,NZ,1610593069
Fes,34.0372,-4.9998,2.0,75,0,4.12,MA,1610593253
Geraldton,-28.7667,114.6,34.0,21,0,7.2,AU,1610593255
Longyearbyen,78.2186,15.6401,-8.0,86,75,3.6,SJ,1610593256
Ahipara,-35.1667,173.1667,22.34,67,14,3.06,NZ,1610593256
Hohhot,40.8106,111.6522,-5.0,46,98,2.0,CN,1610593257
Mar del Plata,-38.0023,-57.5575,18.33,63,0,4.63,AR,1610593127
Gualeguay,-33.1416,-59.3097,20.34,40,0,6.2,AR,1610593260
East London,-33.0153,27.9116,22.83,91,100,6.66,ZA,1610593261
Bassano,50.7834,-112.4685,-0.56,69,58,7.72,CA,1610593264
Lata,40.1629,-8.3327,7.78,91,5,1.4,PT,1610593265
Mahébourg,-20.4081,57.7,25.0,88,75,3.09,MU,1610593266
Pochutla,15.7432,-96.4661,24.44,70,45,1.16,MX,1610593266
Cherskiy,68.75,161.3,-30.75,85,100,1.94,RU,1610593267
Alekseyevsk,57.8406,108.3492,-23.03,87,100,6.44,RU,1610593268
